Date,Event,unifiedAppName,"May 20 2024, 12:00AM - May 15 2025, 7:09PM"
2024-07-01,All Events [Unique Users],BTCloudWorkWeb,710
2024-07-01,All Events [Unique Users],BusinessConnectDesktop,27042
2024-07-01,All Events [Unique Users],BusinessConnectForTeams,1502
2024-07-01,All Events [Unique Users],BusinessConnectMobile,40895
2024-07-01,All Events [Unique Users],BusinessConnectWeb,1432
2024-07-01,All Events [Unique Users],OfficeAtHandDesktop,35672
2024-07-01,All Events [Unique Users],OfficeAtHandForTeams,959
2024-07-01,All Events [Unique Users],OfficeAtHandMobile,36116
2024-07-01,All Events [Unique Users],OfficeAtHandWeb,3266
2024-07-01,All Events [Unique Users],RCAppBizDesktop,392
2024-07-01,All Events [Unique Users],RCAppBizWeb,47
2024-07-01,All Events [Unique Users],RCAppClassicDesktop,0
2024-07-01,All Events [Unique Users],RCAppClassicWeb,0
2024-07-01,All Events [Unique Users],RCAppDesktoP,0
2024-07-01,All Events [Unique Users],RCAppDesktop,1242471
2024-07-01,All Events [Unique Users],RCAppMobile,937041
2024-07-01,All Events [Unique Users],RCAppSoloMobile,3
2024-07-01,All Events [Unique Users],RCAppWeb,134128
2024-07-01,All Events [Unique Users],RCIntuneAppMobile,2882
2024-07-01,All Events [Unique Users],RCSoloAppMobile,45
2024-07-01,All Events [Unique Users],RainbowOfficeDesktop,0
2024-07-01,All Events [Unique Users],RainbowOfficeMobile,2
2024-07-01,All Events [Unique Users],RainbowOfficeWeb,0
2024-07-01,All Events [Unique Users],RingCentral for Microsoft Teams,0
2024-07-01,All Events [Unique Users],RingCentral for Teams,8
2024-07-01,All Events [Unique Users],RingCentral,0
2024-07-01,All Events [Unique Users],RingCentralForTeams,63253
2024-07-01,All Events [Unique Users],RingExForGoogle,0
2024-07-01,All Events [Unique Users],RoomsController,436
2024-07-01,All Events [Unique Users],RoomsHost RCVideo,0
2024-07-01,All Events [Unique Users],RoomsHost,479
2024-07-01,All Events [Unique Users],TELUS Business Connect for Teams,0
2024-07-01,All Events [Unique Users],Unify Office,0
2024-07-01,All Events [Unique Users],UnifyOfficeDesktop,9850
2024-07-01,All Events [Unique Users],UnifyOfficeMobile,3863
2024-07-01,All Events [Unique Users],UnifyOfficeWeb,451
2024-07-01,All Events [Unique Users],VodafoneBusinessDesktop,13825
2024-07-01,All Events [Unique Users],VodafoneBusinessMobile,14594
2024-07-01,All Events [Unique Users],VodafoneBusinessWeb,485
2024-07-08,All Events [Unique Users],AT&T Office@Hand for Teams,1
2024-07-08,All Events [Unique Users],AvayaCloudDesktop,74153
2024-07-08,All Events [Unique Users],AvayaCloudMobile,42319
2024-07-08,All Events [Unique Users],AvayaCloudOfficeForGoogle,0
2024-07-08,All Events [Unique Users],AvayaCloudOfficeForTeams,182
2024-07-08,All Events [Unique Users],AvayaCloudWeb,4273
2024-07-08,All Events [Unique Users],BT Cloud Work for Teams,0
2024-07-08,All Events [Unique Users],BTCloudWorkDesktop,15277
2024-07-08,All Events [Unique Users],BTCloudWorkForTeams,1089
2024-07-08,All Events [Unique Users],BTCloudWorkMobile,19721
2024-07-08,All Events [Unique Users],BTCloudWorkWeb,733
2024-07-08,All Events [Unique Users],BusinessConnectDesktop,27397
2024-07-08,All Events [Unique Users],BusinessConnectForTeams,1597
2024-07-08,All Events [Unique Users],BusinessConnectMobile,41820
2024-07-08,All Events [Unique Users],BusinessConnectWeb,1597
2024-07-08,All Events [Unique Users],OfficeAtHandDesktop,38171
2024-07-08,All Events [Unique Users],OfficeAtHandForTeams,1027
2024-07-08,All Events [Unique Users],OfficeAtHandMobile,39831
2024-07-08,All Events [Unique Users],OfficeAtHandWeb,3678
2024-07-08,All Events [Unique Users],RCAppBizDesktop,415
2024-07-08,All Events [Unique Users],RCAppBizWeb,55
2024-07-08,All Events [Unique Users],RCAppClassicDesktop,0
2024-07-08,All Events [Unique Users],RCAppClassicWeb,0
2024-07-08,All Events [Unique Users],RCAppDesktoP,0
2024-07-08,All Events [Unique Users],RCAppDesktop,1264842
2024-07-08,All Events [Unique Users],RCAppMobile,983983
2024-07-08,All Events [Unique Users],RCAppSoloMobile,3
2024-07-08,All Events [Unique Users],RCAppWeb,150213
2024-07-08,All Events [Unique Users],RCIntuneAppMobile,3040
2024-07-08,All Events [Unique Users],RCSoloAppMobile,81
2024-07-08,All Events [Unique Users],RainbowOfficeDesktop,2
2024-07-08,All Events [Unique Users],RainbowOfficeMobile,1
2024-07-08,All Events [Unique Users],RainbowOfficeWeb,0
2024-07-08,All Events [Unique Users],RingCentral for Microsoft Teams,0
2024-07-08,All Events [Unique Users],RingCentral for Teams,17
2024-07-08,All Events [Unique Users],RingCentral,0
2024-07-08,All Events [Unique Users],RingCentralForTeams,66560
2024-07-08,All Events [Unique Users],RingExForGoogle,0
2024-07-08,All Events [Unique Users],RoomsController,441
2024-07-08,All Events [Unique Users],RoomsHost RCVideo,0
2024-07-08,All Events [Unique Users],RoomsHost,485
2024-07-08,All Events [Unique Users],TELUS Business Connect for Teams,0
2024-07-08,All Events [Unique Users],Unify Office,0
2024-07-08,All Events [Unique Users],UnifyOfficeDesktop,9671
2024-07-08,All Events [Unique Users],UnifyOfficeMobile,3801
2024-07-08,All Events [Unique Users],UnifyOfficeWeb,531
2024-07-08,All Events [Unique Users],VodafoneBusinessDesktop,13762
2024-07-08,All Events [Unique Users],VodafoneBusinessMobile,14461
2024-07-08,All Events [Unique Users],VodafoneBusinessWeb,510
2024-07-15,All Events [Unique Users],AT&T Office@Hand for Teams,0
2024-07-15,All Events [Unique Users],AvayaCloudDesktop,73357
2024-07-15,All Events [Unique Users],AvayaCloudMobile,42021
2024-07-15,All Events [Unique Users],AvayaCloudOfficeForGoogle,0
2024-07-15,All Events [Unique Users],AvayaCloudOfficeForTeams,201
2024-07-15,All Events [Unique Users],AvayaCloudWeb,4317
2024-07-15,All Events [Unique Users],BT Cloud Work for Teams,0
2024-07-15,All Events [Unique Users],BTCloudWorkDesktop,15284
